text,attributeScores.THREAT.summaryScore.value,attributeScores.PROFANITY.summaryScore.value,attributeScores.IDENTITY_ATTACK.summaryScore.value,attributeScores.TOXICITY.summaryScore.value,attributeScores.SEVERE_TOXICITY.summaryScore.value,attributeScores.INSULT.summaryScore.value
jair bolsonaro n“onde tiver vacina para comprar nós vamos comprar eu não estou negando o vírus muito pelo contrário estou dizendo que temos que enfrentar os problemas se todo mundo ficar em casa vai morrer todo mundo de fome”,0.92975205,0.25795627,0.5125628,0.59457666,0.50714284,0.36756372
rconstantino bordel é o palácio do planaltone a dona do puteiro está dando chilique ncadê as vacinas seu merdanahhh vc já se vacinou e fica aí recebendo verba pública da secom pra falar merda,0.69014084,0.9598595,0.8568281999999999,0.96368337,0.9606127,0.95187163
ildeubasilio crikasetembro elizialeite  tbm fiquei nessa dúvida a cardiologista do meu pai me orientou “a vacina pode dar reação sim e é opcional se ele pegar o vírus o sofrimento será muito maior”naí decidi vacinar ele com  anos e não teve nenhuma reação com astrazeneca,0.69014084,0.106781214,0.26099870000000003,0.16477858,0.15652174,0.13868535
jairbolsonaro compra as vacinas bolsonaroncadê as vacinas bolsonarononde está as vacinas bolsonaronvacine a população bolsonaronsão mais de mil mortos por dia sem vacinas bolsonaronvacina vacina vacina vacina e nqueremos vacinas bolsonaronninguém aguenta esperar as vacinas bolsonaro,0.8367346999999999,0.35398229999999997,0.7366411999999999,0.6152542,0.6394558000000001,0.6698113
presidente do senado diz esperar que ministério demonstre com ações que não é negacionista  política,0.10373574,0.02092503,0.15157078,0.11257359,0.029047352999999998,0.21493441
a hipocrisia do poder público no combate à  é o retrato falado de um governo de merda,0.35512498,0.95281553,0.9133127000000001,0.9399721999999999,0.849556,0.9156950999999999
hospitais recebem verbas extras quando a internaçao é por covid ditadoria corta milhões da saúde hospitais necessitam das verbas casos de covid explodem é silogismo que fala,0.7106108,0.22094181,0.5125628,0.4028394,0.32804233,0.45039085
a conta e todo esse crescimento dos casos de covid está sendo paga pelos comerciantes e ficaram de portas fechadas por duas semanasnse você tá chegando agora para ficar com a gente conferir o que é essencial ou não essencial afinal,0.15428692,0.035855055,0.05256766,0.055042017,0.060686015,0.037169043
marcelofreixo jairbolsonaro uma das raras vezes em que concordo com o presidente chega de mimimi bolsonaro para de dizer que não pode fazer nada vai buscar vacina manda o pazuello centralizar esforços o ministro das comunicações fazer campanha vai trabalhar vagabundo,0.2877095,0.6435810000000001,0.6052632,0.71887034,0.50714284,0.80649036
dois assessores de um mesmo senador morrem de   famílias continuam sendo destruídas infelizmente bolsonaro não se trata de apenas uma simples gripezinha quando contará isso aos seus eleitores,0.8367346999999999,0.35398229999999997,0.7366411999999999,0.60452926,0.45511806,0.6503955
tem q se fuder e morrer de covid simples,0.9909091,0.9609046999999998,0.8082596,0.9820972,0.9836132,0.9124639999999999
italobenassi  se tudo der certo da pra dar essa vacina letal em varios em,0.92975205,0.43034049999999996,0.7572454000000001,0.6485861999999999,0.6696890999999999,0.45039085
veja as falas de bolsonaro sobre as vacinas contra a     política   m,0.22377516,0.03239941,0.15686275,0.13212408,0.060686015,0.15672588
eumanosilva significado de variantennadjetivonque varia que muda que tem capacidade de se alterar variávelque se afasta de um modelo ou padrãonnsubstantivo femininono que resulta de uma variação ou do afastamento de um padrão o coronavírus e suas variantes,0.07751938,0.021832807000000003,0.5125628,0.07400352,0.02917772,0.07841496
jairbolsonaro compra as vacinas bolsonaroncadê as vacinas bolsonarononde está as vacinas bolsonaronvacine a população bolsonaronsão mais de mil mortos por dia sem vacinas bolsonaronvacina vacina vacina vacina e nqueremos vacinas bolsonaronninguém aguenta esperar as vacinas bolsonaro,0.8367346999999999,0.35398229999999997,0.7366411999999999,0.6152542,0.6394558000000001,0.6698113
sandrocezzar  vitorsergio de querer fechar tudo quando a vacina chinesa chegou só sabiam mandar um chupa bolsonaro e etcagora ficam com esse papinho de fecharcomo se estivessem preocupados com vidas tudo hipocrisia né senhor vitorsergio,0.7326733,0.8874502000000001,0.9142720999999999,0.86052006,0.8429054,0.8408602
gustavocastanon o reinaldoazevedo fala em um ncovidnuncamaisncom os nomes e sobrenomes de todos os iresponsáveisnpra ficar na história,0.21789373,0.10279001,0.22733125,0.16858807,0.13228443,0.22323854
brasil tem  mortes em  e passa das  mil  não podemos baixar a guarda não podemos também carregar essa culpa fiqueemcasa usemascara usealcoolgel laveasmaos distanciamentosocial vamos cuidar pelo menos das pessoas que amamos,0.8367346999999999,0.17263843,0.7366411999999999,0.4028394,0.34962407,0.3219697
então nas cabeças dos esquerdopatas da extrema imprensa e dos supremos militantes só tem vacina disponível pro brasil e bolsonaro q não quer comprar pro resto do mundo não tem mas pra gente tá lá prontinha já ah merkel disse q não vai tomarn,0.69014084,0.41295114,0.8082596,0.589329,0.34962407,0.7036489
prefeita de rancho queimado fala sobre tratamento precoce adotado contra a   via ndmais,0.8367346999999999,0.24571829,0.7257031999999999,0.46633515,0.34962407,0.40252423
agora o nosso excelentíssimo presidente dizer que isso tudo é mimimi vai toma no cu bolsonaro eu já perdi meu tio e amigo e familiares por causa da covid seu presidente arrombado do caralho,0.75991684,0.94596654,0.9133127000000001,0.9674459999999999,0.9606127,0.95262617
