data__id,data__text,meta__newest_id,meta__oldest_id,meta__result_count,meta__next_token
"1,36770117194785E+018","@Marfec7 Se tomar vacina, vira um jacagado. _xD83D__xDC0A__xD83D__xDC2E_","1,36770117194785E+018","1,36769992216276E+018",100,b26v89c19zqg8o3fosnu6tjzppz7tjzenp27ogtnx5h8d
"1,36770113100306E+018",Balneário Camboriú vacina 67 pessoas contra Covid nesta quinta https://t.co/cLJbXikLCe,,,,
"1,36770112687591E+018","Era pra eu ter tomado a segunda dose da vacina do covid ontem e eu me confiando no cartão que marcava dia 05, acabei não indo",,,,
"1,36770112224961E+018",@ManuelaDavila @caetanoveloso É a cura pra Covid ou pra Pedofilia? Tô em dúvida aqui... _xD83E__xDD14_,,,,
"1,36770111863826E+018",covid vai embora rapidao so p eu comer uns sushi no restaurante que eu gosto ver uns filme no cinema de boa pf,,,,
"1,36770109284332E+018",@DiegoBenevides Só não fica mais imune pois ele é anti-vacina.,,,,
"1,36770108697126E+018","@fpulcineli Os restaurantes também são essenciais!!! O primo da minha cunhada pegou covid na igreja! Orar?!? Vc entra pro seu quarto, ajoelha e Deus te ouvirá! Para de tentar a Deus povo fanático!",,,,
"1,36770107113361E+018","Galera POR FAVOR SE CUIDEM! A gente não é invencível, a UTI covid é uma das coisas mais solitárias que podem acontecer",,,,
"1,36770104505759E+018","@mariatormin Maria, aqui na minha cidade nós tivemos um aumento mt grande de internações de covid, e os pacientes tb não estão tendo tratamento precoce. Vc acha que os números de internações aumentaram por isso ou pq esse aumento é por causa da nova cepa?",,,,
"1,36770103331772E+018",preciso socializar e ser um adolescente comum mas a covid não colabora,,,,
"1,36770102571351E+018","Eu tô mto paranoica c o bgl de covid caralho, tenho q parar de ser assim, tô ficando piroca já",,,,
"1,36770102396862E+018",Qqr se eu tiver com covid eu vou ficar muito puta,,,,
"1,36770101388556E+018","Eu já nem sei mais se alguém me enxerga nessa rede... mas preciso desabafar um pouco ao mundo. Ano passado, me joguei de corpo e alma nos estudos em relação a covid (como leiga, já que não é a minha área de atuacao). Foi uma maneira que encontrei +",,,,
"1,36770100755637E+018","@Pitota10 Dessas vacinas, nunca.",,,,
"1,36770100448193E+018","Gripao veio desgraçado, mas fé no pai q ñ seras covid",,,,
"1,36770100311039E+018",COVID-19 NO BRASIL: PRESIDENTE VOLTA A MINIMIZAR PANDEMIA - https://t.co/jxFegyQO67,,,,
"1,36770100091259E+018","Essa merda já matou mais de 2,6 milhões de pessoas em um ano. E ainda tem gente que acha que vacina faz virar jacaré. Me poupe!",,,,
"1,36770099131603E+018",obvio que a incompetência com a questão da vacina ia fazer todo mundo se foder meu deus cara que ódio https://t.co/jIfGGc8YlQ,,,,
"1,36770095268227E+018",@tesoureiros A História do cartão de vacina adulterado? É tanta atrocidade em tão pouco tempo que as pessoas acabam se perdendo.\nEu espero que seja processado por cada uma.\n;:Sonho Meu...,,,,
"1,36770095234254E+018",Que eu Nao COM TODA MINHA INSTRUCAO NAO QUERO IR PRA CHURRASCO PRA BALADA?QUERO CLARO QUE QUERO SO QUE TEM UMA COISA COMIGO EU NAO OPTO POR DAR DE OMBRO PRA ESSS COVID PORQUE ALIENADAMENTE INDEPENDENTE EU DISSE INDENPENDENTE DE QUEM QUER QUE SEJA QUE ME FALE O QUE FOR EU ACHE C,,,,
"1,36770094189872E+018","@JPimpao95 Oxe, mas todos eles são assim poh, muitos que eu vi fazer a hasteg fica em casa, aglomeram e muitos foram acometidos da Covid, são tudo Hipócritas.",,,,
"1,36770093340941E+018",ontem chorei REAL por causa das quase 2000 mortes por covid,,,,
